epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.17942,1.82457,0.25,0.83333,1.81012,5e-05,5e-05,5e-05
2,9.79651,1.78363,0.25,0.91667,1.74635,0.000107822,0.000107822,0.000107822
3,13.6907,1.65067,0.375,0.95833,1.68924,0.000163268,0.000163268,0.000163268
4,17.509,1.60214,0.54167,1,1.63773,0.000216338,0.000216338,0.000216338
5,21.1984,1.52984,0.45833,1,1.57187,0.000267032,0.000267032,0.000267032
6,24.9589,1.4353,0.41667,1,1.49303,0.00031535,0.00031535,0.00031535
7,28.7997,1.30657,0.45833,1,1.39999,0.000361292,0.000361292,0.000361292
8,32.5554,1.18152,0.45833,1,1.29124,0.000404858,0.000404858,0.000404858
9,36.3742,1.03912,0.41667,1,1.20486,0.000446048,0.000446048,0.000446048
10,40.2486,0.94762,0.45833,1,1.1405,0.000484862,0.000484862,0.000484862
11,44.0949,0.81085,0.5,1,1.06282,0.0005213,0.0005213,0.0005213
12,47.7307,0.74642,0.54167,1,1.00259,0.000555362,0.000555362,0.000555362
13,51.4914,0.65482,0.58333,1,0.94227,0.000587048,0.000587048,0.000587048
14,55.307,0.57047,0.54167,1,0.90323,0.000616358,0.000616358,0.000616358
15,58.9717,0.57616,0.58333,1,0.89087,0.000643292,0.000643292,0.000643292
16,62.7502,0.44633,0.5,1,0.91134,0.00066785,0.00066785,0.00066785
17,66.4748,0.48013,0.54167,1,0.90148,0.0006832,0.0006832,0.0006832
18,70.2908,0.39868,0.54167,1,0.90816,0.0006634,0.0006634,0.0006634
19,73.9482,0.39577,0.58333,1,0.89781,0.0006436,0.0006436,0.0006436
20,77.8216,0.36268,0.5,1,0.89096,0.0006238,0.0006238,0.0006238
21,81.7696,0.3773,0.5,1,0.86962,0.000604,0.000604,0.000604
22,85.4585,0.36203,0.58333,1,0.89824,0.0005842,0.0005842,0.0005842
23,89.273,0.40081,0.54167,1,0.91584,0.0005644,0.0005644,0.0005644
24,93.0318,0.29754,0.54167,1,0.96712,0.0005446,0.0005446,0.0005446
25,96.7235,0.28918,0.54167,1,1.0103,0.0005248,0.0005248,0.0005248
26,100.419,0.23898,0.5,1,1.06517,0.000505,0.000505,0.000505
27,104.145,0.27682,0.54167,1,1.08449,0.0004852,0.0004852,0.0004852
28,107.875,0.30077,0.58333,1,1.092,0.0004654,0.0004654,0.0004654
29,111.51,0.27037,0.54167,1,1.11468,0.0004456,0.0004456,0.0004456
30,115.369,0.26644,0.54167,1,1.13488,0.0004258,0.0004258,0.0004258
31,119.077,0.29758,0.54167,1,1.1499,0.000406,0.000406,0.000406
32,122.806,0.2608,0.5,1,1.16834,0.0003862,0.0003862,0.0003862
33,126.49,0.29527,0.5,1,1.19457,0.0003664,0.0003664,0.0003664
34,130.187,0.25992,0.45833,1,1.18502,0.0003466,0.0003466,0.0003466
35,133.903,0.26512,0.54167,1,1.16481,0.0003268,0.0003268,0.0003268
36,137.59,0.2583,0.54167,1,1.1856,0.000307,0.000307,0.000307
37,141.355,0.24497,0.5,1,1.20168,0.0002872,0.0002872,0.0002872
38,145.174,0.21274,0.54167,1,1.22335,0.0002674,0.0002674,0.0002674
39,148.881,0.2668,0.54167,1,1.24897,0.0002476,0.0002476,0.0002476
40,152.696,0.22302,0.54167,1,1.23166,0.0002278,0.0002278,0.0002278
41,156.475,0.21901,0.54167,1,1.24451,0.000208,0.000208,0.000208
42,160.245,0.25359,0.58333,1,1.23636,0.0001882,0.0001882,0.0001882
43,164.052,0.21933,0.58333,1,1.24251,0.0001684,0.0001684,0.0001684
44,167.846,0.25285,0.58333,1,1.23586,0.0001486,0.0001486,0.0001486
45,171.638,0.29999,0.58333,1,1.23674,0.0001288,0.0001288,0.0001288
46,176.097,0.2281,0.58333,1,1.23622,0.000109,0.000109,0.000109
47,186.787,0.24571,0.58333,1,1.23212,8.92e-05,8.92e-05,8.92e-05
48,196.015,0.19684,0.58333,1,1.26715,6.94e-05,6.94e-05,6.94e-05
49,2671.22,0.22032,0.58333,1,1.26094,4.96e-05,4.96e-05,4.96e-05
50,2685.37,0.22416,0.58333,1,1.2397,2.98e-05,2.98e-05,2.98e-05
